Hora;Mes;Hidraul;Eolica;Demanda;Ciclocomb;Cogener;Nuclear;Carbon;Clases
15;1;1538.9;9417.6;20277.8;820;3068.6;6037.1;1051;0
16;1;1480.4;9791.1;19692.9;820;2994.6;6037.1;1101;0
17;1;1593.7;10164.7;19085.2;820;3254.2;6037.1;1001;0
18;1;2413.7;10577.4;20643.8;973.2;3257.6;6038.1;1001;0
19;1;2694.6;10786.1;21906.7;1155.8;3271.3;6038.1;944;0
20;1;2645.8;11039.2;22217.6;1137.8;3273.7;6038.1;1001;0
21;1;2369.4;11266.4;22447.4;1115.4;3273.9;6038.1;944;0
22;1;2026.6;11254.9;22525.6;971;3274;6038.1;944;0
23;1;1784.7;11141.6;21369.6;971;3270.1;6037.1;944;0
0;1;1505.7;10127.9;20901.5;1699.7;3130.1;6042.1;953;0
1;1;1365.3;9948.2;19841;1750.6;3032.2;6041.1;952;0
2;1;1098.2;10895;19324.7;1673.6;2958;6042.1;944;0
3;1;1055.8;10172.5;18795.4;1442.6;2888.4;6042.1;944;0
4;1;1055.9;9992.8;18510;1442.6;2891.4;6042.1;944;0
5;1;1055.9;9760.5;18421.7;1442.6;2911.3;6042.1;944;0
6;1;1084.4;9446.2;18174.4;1442.6;3029.6;6042.1;959;0
7;1;1228.9;8994.6;17960.1;1859;3006.7;6042.1;1014;0
8;1;1338.7;8478.4;17792.2;1595.3;3013.2;6043.1;1074;0
9;1;1506.3;7948.3;18790.5;1271.3;2770.3;6043.1;1129;0
10;1;1975.8;7445.9;20510.5;1271.3;2758.7;6042.1;1431;0
11;1;2049.8;7202.1;21534.3;1271.3;2961;6042.1;1646;0
12;1;2082.8;7041.3;21480.5;1271.3;3032.1;6042.1;1642;0
13;1;2090.6;6965.8;21861.2;1271.3;2983.4;6042.1;1946;0
14;1;2035.7;6828.7;21880.2;1271.3;2986.4;6042.1;2076;0
15;1;1690.8;6466.1;20636.7;1271.3;2713.7;6042.1;1976.7;0
16;1;1697.5;5957.8;19735.4;1271.3;2697.4;6042.1;2156.7;0
17;1;1942.7;5642.1;20144;1271.3;2974.7;6042.1;2211;0
18;1;2900.1;5244.5;22192.5;1160.6;3164.4;6042.1;2331;1
19;1;3631.3;4858.1;23337.7;1191.4;3259.3;6043.1;2274;1
20;1;4999.3;4441.7;24469.7;1160.6;3225.5;6043.1;2331;1
21;1;5553.5;4206.5;24631.5;1323.6;3284.2;6043.1;2274;1
22;1;4871.5;3779.7;23180.3;1160.6;3243.8;6043.1;2274;1
23;1;2970.6;3607.9;20666.6;1160.6;3181.1;6043.1;2274;1
0;1;1905.2;3084.5;20666;1402.6;2958.6;6042.4;5372;1
1;1;1374.1;2836.4;18526.5;1337.6;2987.9;6043.4;5372;0
2;1;1186.3;2519.8;17349;1337.6;3064.5;6043.4;5122.3;0
3;1;1194.6;2251.1;16639.4;1285.6;3062.3;6043.4;4844.3;0
4;1;1194.2;2077.3;16636.3;1372.6;3041.6;6043.4;4765.1;0
5;1;1214.1;1985.7;17481;1437.6;3068.9;6043.4;5238;0
6;1;1633.9;1959.9;20475.9;1649.4;3130.2;6043.4;6112;1
7;1;2087.5;2019.8;25622;3535.1;3299.2;6043.4;6480;1
8;1;3609.6;1936.9;28417.4;4790;3455.1;6043.4;6647;1
9;1;3867.1;1801;28831.7;5230;3475.6;6043.4;6793;1
10;1;3945.7;1789.5;29386.4;5530;3438;6042.4;6943;1
11;1;3542.7;1837.6;29511.2;5669;3437;6042.4;6978;1
12;1;3226.3;1861.1;29373.3;5669;3440.9;6042.4;6978;1
13;1;3154.2;2018.3;29476.3;5669;3434.8;6042.4;6978;1
14;1;2859;2240.8;28906.8;5669;3436.7;6042.4;6978;1
15;1;2488.9;2637;28349.9;5689;3448.5;6042.4;6978;1
16;1;2293.6;3068.4;27743.7;5665;3453.9;6042.4;6978;1
17;1;2469.1;3486;27551;5695;3459.5;6042.4;6978;1
18;1;3827.6;3823.4;28738.2;5729;3485.1;6042.4;7038;1
19;1;4357.6;4002.4;29531.6;5729;3480.6;6042.4;7108;1
20;1;4608.8;4238;30375.8;5769;3480;6042.4;7158;1
21;1;4330.9;4362.5;30481.9;5769;3478.1;6042.4;7238;1
22;1;2875.2;4617.3;29243.7;5004;3484.7;6042.4;7313;1
23;1;2202.3;5047.7;25553.5;3151.5;3444.7;6042.4;7215;1
0;1;2221.2;4303.5;22666.6;2317.2;3198.7;6042.6;7142;1
1;1;1639.7;4703.9;21151.4;1963.6;3166.1;6042.6;6708.5;0
2;1;1343.4;5125.2;20114.4;1891.1;3160;6042.6;5743.8;0
3;1;1379.6;5537.4;19575;1761.9;3175.9;6042.6;5082.4;0
4;1;1440.2;5948.4;19470.3;1813.4;3246.8;6042.6;4626.6;0
5;1;1440.2;6354.8;20083.4;1924.8;3251.3;6042.6;4695.7;0
6;1;1450;6670.3;21902.5;1984.2;3187.9;6042.6;5864.8;0
7;1;1972.6;6865.3;25395.7;2374;3160.8;6042.6;7079.8;0
8;1;2554.9;7295.1;28005.8;3147;3399.8;6042.6;7195;0
9;1;2767.8;7750.1;29517.9;3187;3345;6042.6;7195;1
10;1;2791.1;8101.4;30100.5;3167;3329.8;6042.6;7195;1
11;1;2587.4;8392.1;30163.2;3167;3387.8;6042.6;7195;1
12;1;2160.5;8707.1;29877.7;2456;3309.6;6042.6;7365;0
13;1;2082.7;9006.8;29953.6;2336;3303.7;6042.6;7365;0
14;1;1882.5;9209;29307.1;2245.1;3308.9;6042.6;7222.5;0
15;1;1931.3;9372.5;28566.8;2245.1;3323.1;6042.6;7170;0
16;1;2025.3;9229.1;27919;2265.5;3323;6042.6;7304.5;0
17;1;2436.9;9003.5;27991.6;2606;3327.2;6042.6;7365;0
